titular,empresa,variedade,tipo_ciclo,inicio_ret,NºRNC,grupo__qualidade,ano_class_qualidade
NIDERA,NIDERA,BAGUETTE 750,L,2016,16313,GRUPO DE CALIDAD 2,2023
NIDERA,NIDERA,BAGUETTE 550,I,2018,17979,GRUPO DE CALIDAD 2,2023
NIDERA,NIDERA,610 BAGUETTE,C,2023,22500,GRUPO DE CALIDAD 2,2023
OR MELHORAMIENTO DE SEMENTES L,ASOCIADOS DON MARIO S.A.,FUSTE,C,2013,13998,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,ACA,FRESNO,L,2021,20358,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,ASOCIADOS DON MARIO S.A.,ALGARROBO,I,2014,21306,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,ASOCIADOS DON MARIO S.A.,SAUCE,L,2020,18188,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,ASOCIADOS DON MARIO S.A.,PEHUEN,I,2020,18146,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,ASOCIADOS DON MARIO S.A.,ALERCE,C,2021,18190,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,BIOCERES,BASILIO,L,2015,15764,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,BIOSEMINIS,ALAMO,C,2021,19652,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,SURSEM,LAPACHO ,L,2013,14467,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,SURSEM,SRM NOGAL,I,2012,9190,GRUPO DE CALIDAD 2,2023
SERASEM IN VIVO-GROUP,NIDERA,BAGUETTE 802 ,L,2012,13511,GRUPO DE CALIDAD 2,2023
SYNGENTA,BUCK SEMILLAS S.A.,SY 120,I,2017,17264,GRUPO DE CALIDAD 2,2023
SYNGENTA,BUCK SEMILLAS S.A.,SY 211,I,2015,15753,GRUPO DE CALIDAD 2,2023
SYNGENTA,BUCK SEMILLAS S.A.,SY 330,C,2015,15786,GRUPO DE CALIDAD 2,2023
SYNGENTA,BUCK SEMILLAS S.A.,SY 200 ,I,2009,11658,GRUPO DE CALIDAD 2,2023
SYNGENTA,BUCK SEMILLAS S.A.,SY 300 ,C,2009,11656,GRUPO DE CALIDAD 2,2023
LIMAGRAIN,LIMAGRAIN,ZONDA,I,2023,21795,GRUPO DE CALIDAD 2,2023
LIMAGRAIN,LIMAGRAIN,LG PICAZO,I,2023,21802,GRUPO DE CALIDAD 2,2023
